,IPCA Acumulado 12 meses,Variação Mensal Total,Alimentos e bebidas,Habitação,Bens domésticos,Vestuário,Transportes,Comunicação,Saúde e cuidados pessoais,Despesas pessoais,Educação
1980-01-01,,6.62,,,,,,,,,
1980-02-01,,4.62,,,,,,,,,
1980-03-01,,6.04,,,,,,,,,
1980-04-01,,5.29,,,,,,,,,
1980-05-01,,5.7,,,,,,,,,
1980-06-01,,5.31,,,,,,,,,
1980-07-01,,5.55,,,,,,,,,
1980-08-01,,4.95,,,,,,,,,
1980-09-01,,4.23,,,,,,,,,
1980-10-01,,9.48,,,,,,,,,
1980-11-01,,6.67,,,,,,,,,
1980-12-01,99.25,6.61,,,,,,,,,
1981-01-01,99.67,6.84,,,,,,,,,
1981-02-01,103.07,6.4,,,,,,,,,
1981-03-01,101.03,4.97,,,,,,,,,
1981-04-01,103.27,6.46,,,,,,,,,
1981-05-01,103.0,5.56,,,,,,,,,
1981-06-01,103.41,5.52,,,,,,,,,
1981-07-01,104.78,6.26,,,,,,,,,
1981-08-01,105.85,5.5,,,,,,,,,
1981-09-01,107.88,5.26,,,,,,,,,
1981-10-01,99.52,5.08,,,,,,,,,
1981-11-01,96.89,5.27,,,,,,,,,
1981-12-01,95.62,5.93,,,,,,,,,
1982-01-01,95.86,6.97,,,,,,,,,
1982-02-01,96.29,6.64,,,,,,,,,
1982-03-01,97.68,5.71,,,,,,,,,
1982-04-01,96.61,5.89,,,,,,,,,
1982-05-01,98.65,6.66,,,,,,,,,
1982-06-01,101.64,7.1,,,,,,,,,
1982-07-01,101.84,6.36,,,,,,,,,
1982-08-01,102.75,5.97,,,,,,,,,
1982-09-01,102.41,5.08,,,,,,,,,
1982-10-01,101.19,4.44,,,,,,,,,
1982-11-01,101.22,5.29,,,,,,,,,
1982-12-01,104.79,7.81,,,,,,,,,
1983-01-01,108.0,8.64,,,,,,,,,
1983-02-01,110.38,7.86,,,,,,,,,
1983-03-01,113.63,7.34,,,,,,,,,
1983-04-01,115.03,6.58,,,,,,,,,
1983-05-01,114.67,6.48,,,,,,,,,
1983-06-01,120.24,9.88,,,,,,,,,
1983-07-01,127.94,10.08,,,,,,,,,
1983-08-01,134.69,9.11,,,,,,,,,
1983-09-01,146.35,10.3,,,,,,,,,
1983-10-01,156.78,8.87,,,,,,,,,
1983-11-01,161.9,7.38,,,,,,,,,
1983-12-01,164.01,8.68,,,,,,,,,
1984-01-01,166.51,9.67,,,,,,,,,
1984-02-01,170.57,9.5,,,,,,,,,
1984-03-01,174.59,8.94,,,,,,,,,
1984-04-01,182.22,9.54,,,,,,,,,
1984-05-01,189.03,9.05,,,,,,,,,
1984-06-01,189.55,10.08,,,,,,,,,
1984-07-01,188.62,9.72,,,,,,,,,
1984-08-01,189.25,9.35,,,,,,,,,
1984-09-01,193.05,11.75,,,,,,,,,
