,CODE,NAME
0,ABATE_ABPEAV,Abate - aves - peso das carcaças
1,ABATE_ABPEBV,Abate - bovinos - peso das carcaças
2,ABATE_ABPESU,Abate - suínos - peso das carcaças
3,ABATE_ABQUAV,Abate - aves - qde.
4,ABATE_ABQUBV,Abate - bovinos - qde.
5,ABATE_ABQUSU,Abate - suínos - qde.
6,ABATE12_ABPEAV12,Abate - aves - peso das carcaças
7,ABATE12_ABPEBO12,Abate - bois - peso das carcaças
8,ABATE12_ABPEBV12,Abate - bovinos - peso das carcaças
9,ABATE12_ABPEFR12,Abate - frangos - peso das carcaças
10,ABATE12_ABPENO12,Abate - novilhos - peso das carcaças
11,ABATE12_ABPESU12,Abate - suínos - peso das carcaças
12,ABATE12_ABPEVA12,Abate - vacas - peso das carcaças
13,ABATE12_ABPEVI12,Abate - vitelos - peso das carcaças
14,ABATE12_ABQUAV12,Abate - aves - qde.
15,ABATE12_ABQUBO12,Abate - bois - qde.
16,ABATE12_ABQUBV12,Abate - bovinos - qde.
17,ABATE12_ABQUFR12,Abate - frangos - qde.
18,ABATE12_ABQUNO12,Abate - novilhos - qde.
19,ABATE12_ABQUSU12,Abate - suínos - qde.
20,ABATE12_ABQUVA12,Abate - vacas - qde.
21,ABATE12_ABQUVI12,Abate - vitelos - qde.
22,ABIA12_ALIM12,Produção física - alimentos - índice (média 1989 = 100)
23,ABPO12_PAPEL12,"Expedição de caixas, acessórios e chapas - papelão ondulado - qde."
24,ABRACAL_PCALCARIO,Produção - calcário agrícola - qde.
25,ANATEL_APARELHO,Telefone - aparelhos instalados
26,ANATEL_INST,Telefone - acessos fixos instalados
27,ANATEL_SERV,Telefone - acessos fixos em serviço
28,ANATEL_SERVMOV,Telefone - acessos móveis em serviço
29,ANATEL_SERVMOVFIX,Telefone - acessos móveis e fixos em serviço
30,ANDA_PFERTILIZ,Produção- fertilizantes - qde.
31,ANDA12_PFERTILIZ12,Produção- fertilizantes - qde.
32,ANFAVE_QVEICL,Produção - automóveis - montados - qde.
33,ANP_PCARVAO,Produção - coque de carvão mineral - qde.
34,ANP_PCARVAOM,Produção - carvão mineral - qde.
35,ANP_PDALCO,Produção - álcool - qde.
36,ANP_PDGASN,Produção - gás natural - qde.
37,ANP_PDPET,Produção - petróleo - qde.
38,ANP_PGASOL,Produção - gasolina - qde.
39,ANP_PGLP,Produção - gás GLP - qde.
40,ANP_POLCOM,Produção - óleo combustível - qde.
41,ANP_POLDIE,Produção - óleo diesel - qde.
42,ANP_PQUEROS,Produção - querosene - qde.
43,ANP12_PDALCO12,Produção - álcool - média - qde./dia
44,ANP12_PDGASN12,Produção - gás natural - média - qde.
45,ANP12_PDPET12,Produção - petróleo - média - qde./dia
46,CE_CUTIND,Utilização da capacidade instalada - indústria - média
47,CE12_CUTBC12,Utilização da capacidade instalada - indústria - bens de consumo
48,CE12_CUTBI12,Utilização da capacidade instalada - indústria - bens intermediários
49,CE12_CUTBK12,Utilização da capacidade instalada - indústria - bens de capital
50,CE12_CUTBMC12,Utilização da capacidade instalada - indústria - material para construção
51,CE12_CUTIND12,Utilização da capacidade instalada - indústria - média
52,CE4_CUTBC4,Utilização da capacidade instalada - indústria - bens de consumo
53,CE4_CUTBI4,Utilização da capacidade instalada - indústria - bens intermediários
54,CE4_CUTBK4,Utilização da capacidade instalada - indústria - bens de capital
55,CE4_CUTBMC4,Utilização da capacidade instalada - indústria - material para construção
56,CE4_CUTIND4,Utilização da capacidade instalada - indústria - média
57,CNI12_INDE12,Produção industrial - indústria geral -  estoques  - evolução - índice
58,CNI12_INDEE12,Produção industrial - indústria extrativa -  estoques  - evolução - índice
59,CNI12_INDEP12,Produção industrial - indústria extrativa -  estoques  - efetivo/planejado - índice
60,CNI12_INDP12,Produção industrial - indústria geral -  estoques  - efetivo/planejado - índice
61,CNI12_INDTE12,Produção industrial - indústria de transformação -  estoques  - evolução - índice
62,CNI12_INDTP12,Produção industrial - indústria de transformação -  estoques  - efetivo/planejado - índice
63,CNI12_NUCAP12,Utilização da capacidade instalada - indústria
64,CNI12_NUCAPD12,Utilização da capacidade instalada - indústria - dessaz.
65,CO_AM,Despesas nas atividades de comércio
66,CS_AM,Despesas nas atividades de Serviços
67,DEPAE_SAFRA,Produção - agricultura - grãos - qde.
68,DEPAE_SAFRAAREA,Área plantada - grãos
69,ELETRO_PEEHIDR,Produção - energia elétrica - hidráulica - qde.
70,ELETRO_PEET,Produção - energia elétrica - qde.
71,ELETRO_PEETERM,Produção - energia elétrica - térmica - qde.
72,FIEMG12_CUTIND12,Utilização da capacidade - indústria - extrativa mineral - média
73,FIESP_NUCI,Utilização da capacidade instalada - indústria - SP
74,FIESP12_NUCI12,Utilização da capacidade instalada - indústria - SP
75,FIRJAN12_NUCIRJ12,Utilização da capacidade instalada - indústria - RJ
76,HIST_ACOV,Produção - aço
77,HIST_ACUCARQ,Produção - açúcar - qde.
78,HIST_ACUCARV,Produção - açúcar
79,HIST_AGUARQ,Produção - álcool e aguardente (quantidade) - índice (média 1939 = 100)
80,HIST_AGUARV,Produção - álcool e aguardente
81,HIST_BABQ,Produção - babaçu - qde.
82,HIST_BABV,Produção - babaçu
83,HIST_BANHAQ,Produção - banha - qde.
84,HIST_BANHAV,Produção - banha
85,HIST_BORRQ,Produção - borracha - qde.
86,HIST_BORRV,Produção - borracha
87,HIST_BOVV,Abate - bovinos
88,HIST_CAFEQ60,Produção - café - qde.
89,HIST_CAFEQ60W,Produção - café - qde.
90,HIST_CAFETORRQ,Produção - café (torrefação) - qde.
91,HIST_CAFETORRV,Produção - café (torrefação)
92,HIST_CALCADQ,Produção - calçados - qde.
93,HIST_CALCADV,Produção - calçados
94,HIST_CAPQ,Abate - caprinos - qde.
95,HIST_CAPV,Abate - caprinos
96,HIST_CARNEV,Produção - carne
97,HIST_CASTQ,Produção - castanhas - qde.
98,HIST_CASTV,Produção - castanhas
99,HIST_CBOVQ,Produção - carne bovina - qde.
100,HIST_CBOVV,Produção - carne bovina
101,HIST_CERAQ,Produção - cera de carnaúba - qde.
102,HIST_CERAV,Produção - cera de carnaúba
103,HIST_CERVQ,Produção - cerveja - qde.
104,HIST_CERVV,Produção - cerveja
105,HIST_CHAPQ,Produção - chapéus - qde.
106,HIST_CHAPV,Produção - chapéus
107,HIST_CIMENTQ,Produção - cimento - qde.
108,HIST_CIMENTV,Produção - cimento
109,HIST_COUROPQ,Produção - couros e peles - qde.
110,HIST_COUROPV,Produção - couros e peles
111,HIST_COUROV,Produção - couro
112,HIST_CSUIQ,Produção - carne suína - qde.
113,HIST_CSUIV,Produção - carne suína
114,HIST_ERVAQ,Produção - erva-mate - qde.
115,HIST_ERVAV,Produção - erva-mate
116,HIST_FARMACQ,Produção - produtos farmacêuticos - qde.
117,HIST_FARMACV,Produção - produtos farmacêuticos
118,HIST_FERROQ,Produção - ferro - qde.
119,HIST_FERROV,Produção - ferro
120,HIST_FOSFQ,Produção - fósforos - qde.
